시도,시군구,구분,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
서울,서울,총인구,10935230,10889499,10759454,10550871,10418076,10336134,10270506,10264260,10311314,10263336,10207295,10174086,10173162,10167344,10181166,10192710,10200827,10208302,10312545,10249679,10195318,10143645,10103233,10022181,9930616,9857426,9765623,9729107,9668465,9509458
서울,서울,노인인구비율,3.97,4.08,4.21,4.35,4.49,4.68,4.91,5.15,5.42,5.71,6.00,6.36,6.78,7.19,7.67,8.29,8.73,9.17,9.72,10.19,10.84,11.45,12.04,12.6,13.05,13.8,14.44,15.2,16.15,16.8
부산,부산(기장군 제외),총인구,3882389,3862806,3839812,3811807,3793335,3777173,3754642,3743145,3722182,3694370,3653741,3613813,3586557,3558189,3532658,3507874,3483418,3453646,3465353,3442868,3423918,3395128,3374653,3360684,3340002,3309002,3276589,3249125,3217401,3173255
부산,부산(기장군 제외),노인인구비율,3.89,4.09,4.31,4.50,4.73,5.00,5.27,5.61,5.97,6.36,6.76,7.20,7.73,8.25,8.84,9.56,10.13,10.72,11.22,11.74,12.47,13.27,14.04,14.73,15.42,16.41,17.27,18.31,19.58,20.56
부산,부산 기장군,총인구,,,,72073,73790,74139,74456,74125,74324,76166,76384,77632,79788,80104,79334,79565,81159,89384,102557,108095,114566,132507,144748,153093,158527,161651,164864,164716,174545,177125
부산,부산 기장군,노인인구비율,,,,7.47,7.72,8.11,8.39,8.77,9.22,9.49,9.92,10.42,11.00,11.56,12.08,12.76,13.24,13.09,12.69,12.85,13.19,12.73,12.73,12.91,13.28,14.01,14.59,15.39,15.89,16.57
대구,대구(달성군 제외),총인구,2284191,2312166,2342680,2358633,2354147,2350891,2354570,2362845,2369972,2369009,2370202,2371990,2368807,2352953,2337801,2332818,2321723,2313646,2332777,2326920,2321278,2317230,2308362,2295082,2266289,2231856,2211226,2181491,2159007,2122961
대구,대구(달성군 제외),노인인구비율,4.13,4.24,4.37,4.49,4.69,4.94,5.17,5.50,5.83,6.15,6.49,6.85,7.30,7.71,8.19,8.81,9.31,9.74,10.05,10.39,10.99,11.62,12.25,12.81,13.44,14.36,15.11,15.99,17.02,17.97
대구,대구 달성군,총인구,107933,111137,112590,119956,126198,137455,138870,142865,154281,156100,155601,157554,155905,158353,158314,160443,171001,176135,178899,180351,184366,184358,184902,192747,218268,243375,250543,256540,259339,262451
대구,대구 달성군,노인인구비율,6.76,6.90,7.02,6.91,6.83,6.69,6.96,7.11,7.08,7.36,7.75,8.06,8.51,8.79,9.24,9.68,9.6,9.7,9.9,10.09,10.32,10.79,11.23,11.53,11.09,11.07,11.48,11.91,12.76,13.54
인천,"인천(강화군, 옹진군 제외)",총인구,2065866,2138426,2200769,2268995,2308359,2362733,2402707,2427106,2464661,2483688,2498171,2490880,2498883,2519497,2542390,2581130,2607933,2625309,2672453,2715010,2757190,2792349,2814787,2837186,2853708,2858215,2864710,2867282,2853170,2858340
